label,l_eb_l,r_eb_l,u_ll_l,u_rl_l,l_l,l_h
anger,0.5182827996289702,0.4446060737202122,0.3708244986062482,0.34520540549856504,0.2422356530075266,0.1262873622104653
anger,0.47993851903789936,0.36093297359562926,0.34447296397520344,0.3182441985065658,0.20441641873973246,0.1173801955594894
anger,0.460501716360989,0.40004331851001,0.37012672705398714,0.33429205352042973,0.22619209369146803,0.12037834152832912
anger,0.5191245998838866,0.4356094493168128,0.39004853303605586,0.3879895440046821,0.2348175152476789,0.14051210960456842
anger,0.3815009737638556,0.3714299545978139,0.3229576002954703,0.28834950676431337,0.22303678474243394,0.10957093928056053
anger,0.435658955017355,0.3681050678488952,0.36057288529759274,0.38694748034946946,0.24798701689417788,0.14603747802590925
anger,0.43356472076715225,0.39056923803931387,0.30741533525271647,0.30552087694905733,0.19909310253139045,0.12250628934759884
anger,0.4666631082234638,0.38287482967210507,0.31163063197597707,0.2950892945053129,0.23410299026239773,0.15814966752466494
anger,0.4731885717657728,0.4291235439561164,0.3697489386199485,0.3055722690519699,0.27684477691465575,0.15866597534975377
anger,0.44710088117700486,0.3901103950917601,0.3500453756118196,0.3813600049322946,0.2806169025130436,0.16384697594779082
anger,0.43224396777140506,0.31587676707221723,0.3846640331802544,0.38001913755015193,0.2377817025951031,0.16358094637632004
anger,0.446499899755473,0.3809990151612066,0.3560866437007686,0.3115390785599138,0.20958650103996995,0.11259339308648766
anger,0.44006356369331656,0.33962271320813087,0.2998634785178478,0.3468070378945273,0.2397540025837981,0.16709871255914704
anger,0.5057301160629883,0.4953394050893952,0.3586054100168313,0.3458399459041404,0.27095841876538646,0.1692663822959147
anger,0.538210195654189,0.4215624884681396,0.3376854550023233,0.3376988158635639,0.25203851454174664,0.17634450887021028
anger,0.36836009151584503,0.3332213852128758,0.3063319176324423,0.31141821216166177,0.2696722853576462,0.17042245446589424
anger,0.527475901949316,0.40417245369048727,0.32746555892312906,0.328319367125121,0.22148444511736776,0.12772232460439692
anger,0.3927061418947299,0.36314171820558044,0.29651356146150276,0.2872040448417278,0.20262605148610185,0.1324051015227739
anger,0.4820407514184555,0.4008468021116962,0.3644623851901394,0.3487085835037109,0.24693952416489945,0.16422337858088573
anger,0.5005319783110118,0.39214074842882535,0.3779113719836935,0.392053483393322,0.2210975943543461,0.1307362721060427
anger,0.544345470442599,0.4892311444752281,0.2987264978666952,0.27223598925655124,0.2392892504346347,0.15827819485455738
anger,0.4981804728779949,0.4614159313104218,0.3592520934822162,0.33926744918481805,0.20209971060914883,0.10406554572318963
anger,0.4335240801984822,0.37326904231169433,0.32489613378428345,0.27602346865216265,0.23202755097026087,0.12870572805286307
anger,0.6364205635063861,0.49898207766044145,0.3876219878746835,0.4309658898699656,0.3068170703423238,0.2398079760616439
anger,0.6150912475984359,0.5042585501467477,0.33078601666883983,0.3791528500779747,0.25969442827400846,0.1951707209671225
anger,0.6027925772872794,0.4819515102051673,0.37839279166353235,0.3603415936166722,0.2540182366878028,0.19810550027280052
anger,0.5489463113350703,0.4907517877906086,0.327366622528627,0.3322435191063293,0.21546720742759828,0.12812601273645652
anger,0.5711287644071188,0.4828481878525862,0.31949720238502066,0.31847105147009147,0.24921576072564805,0.14716703827472633
anger,0.5377997631105607,0.4484031264268983,0.30310474319680397,0.30712859564758943,0.23897577902136963,0.1762876855208507
anger,0.5000860906442358,0.4373579746192887,0.34882560412577246,0.292016477288379,0.30130622508120114,0.19834548592316265
anger,0.601292600233272,0.45436106252178476,0.3376721781708979,0.34389752974705184,0.23000599172580008,0.16451230731695574
anger,0.39633348914507305,0.31887805141612136,0.344330736027763,0.3542422692528415,0.2291227604785457,0.1608367721064912
anger,0.4860082041964139,0.4311183871937213,0.2772753782165057,0.31212538751596974,0.2290594706877981,0.16152145573673224
anger,0.4058093483034727,0.3814979848436658,0.3468127423469467,0.28606058789836847,0.2657587723897053,0.1773568832776296
anger,0.47717184658171585,0.4444281325338243,0.34044888515244015,0.3584017676026696,0.22822486443227413,0.1388237653851028
anger,0.4851099887733057,0.49086209146530263,0.3267189350801106,0.3514772443449192,0.20793113146058093,0.14183349262051875
anger,0.4358236097942026,0.3815975321327142,0.32936774813903646,0.3007229162392868,0.19631952995482635,0.11709752017928289
anger,0.5929621240385542,0.47897162058547227,0.3292318156962093,0.36961548590658044,0.24342558925772462,0.18943657102580042
anger,0.4008851131886142,0.4209347559331737,0.3424084240278654,0.3062343376884428,0.25251406397696485,0.16316507915818507
